07:22:19.700 [main] INFO  algoGenetico.PopulationEvo - Thread: main | Hyperparameters{nrGenerations=90, nrFitIndividuals=207, tournamentSize=2, seed=4578, hiddenDimSize=14, mutationProb=0.2689359888387173, populationSize=552}
07:22:20.948 [main] INFO  algoGenetico.PopulationEvo - Thread: main | Hyperparameters{nrGenerations=14, nrFitIndividuals=130, tournamentSize=115, seed=1629, hiddenDimSize=49, mutationProb=0.4517738194436507, populationSize=361}
07:22:20.985 [Thread-0] INFO  algoGenetico.PopulationEvo - Thread: Thread-0 | Generation no: 1
07:22:21.377 [main] INFO  algoGenetico.PopulationEvo - Thread: main | Hyperparameters{nrGenerations=30, nrFitIndividuals=77, tournamentSize=54, seed=2727, hiddenDimSize=13, mutationProb=0.12309161601276553, populationSize=180}
07:22:21.873 [Thread-2] INFO  algoGenetico.PopulationEvo - Thread: Thread-2 | Generation no: 1
07:22:22.047 [Thread-0] INFO  algoGenetico.PopulationEvo - Thread: Thread-0 | Generation no: 2
07:22:22.193 [Thread-2] INFO  algoGenetico.PopulationEvo - Thread: Thread-2 | Generation no: 2
07:22:22.447 [Thread-1] INFO  algoGenetico.PopulationEvo - Thread: Thread-1 | Generation no: 1
07:22:22.452 [main] INFO  algoGenetico.PopulationEvo - Thread: main | Hyperparameters{nrGenerations=65, nrFitIndividuals=11, tournamentSize=1, seed=940, hiddenDimSize=19, mutationProb=0.6711918285155211, populationSize=684}
07:22:22.465 [Thread-2] INFO  algoGenetico.PopulationEvo - Thread: Thread-2 | Generation no: 3
07:22:22.737 [Thread-2] INFO  algoGenetico.PopulationEvo - Thread: Thread-2 | Generation no: 4
07:22:22.983 [Thread-2] INFO  algoGenetico.PopulationEvo - Thread: Thread-2 | Generation no: 5
07:22:23.030 [Thread-0] INFO  algoGenetico.PopulationEvo - Thread: Thread-0 | Generation no: 3
07:22:23.246 [Thread-2] INFO  algoGenetico.PopulationEvo - Thread: Thread-2 | Generation no: 6
07:22:23.365 [main] INFO  algoGenetico.PopulationEvo - Thread: main | Hyperparameters{nrGenerations=26, nrFitIndividuals=28, tournamentSize=13, seed=4207, hiddenDimSize=36, mutationProb=0.6441052158982089, populationSize=338}
07:22:23.663 [Thread-3] INFO  algoGenetico.PopulationEvo - Thread: Thread-3 | Generation no: 1
07:22:23.684 [Thread-2] INFO  algoGenetico.PopulationEvo - Thread: Thread-2 | Generation no: 7
07:22:24.054 [Thread-0] INFO  algoGenetico.PopulationEvo - Thread: Thread-0 | Generation no: 4
07:22:24.277 [Thread-4] INFO  algoGenetico.PopulationEvo - Thread: Thread-4 | Generation no: 1
07:22:25.252 [Thread-4] INFO  algoGenetico.PopulationEvo - Thread: Thread-4 | Generation no: 2
07:22:25.263 [main] INFO  algoGenetico.PopulationEvo - Thread: main | Hyperparameters{nrGenerations=51, nrFitIndividuals=412, tournamentSize=45, seed=146, hiddenDimSize=9, mutationProb=0.9801933066059263, populationSize=957}
07:22:25.296 [Thread-0] INFO  algoGenetico.PopulationEvo - Thread: Thread-0 | Generation no: 5
07:22:25.801 [Thread-1] INFO  algoGenetico.PopulationEvo - Thread: Thread-1 | Generation no: 2
07:22:25.805 [Thread-3] INFO  algoGenetico.PopulationEvo - Thread: Thread-3 | Generation no: 2
07:22:26.585 [main] INFO  algoGenetico.PopulationEvo - Thread: main | Hyperparameters{nrGenerations=88, nrFitIndividuals=160, tournamentSize=53, seed=1996, hiddenDimSize=40, mutationProb=0.9639107305680829, populationSize=390}
07:22:26.856 [Thread-4] INFO  algoGenetico.PopulationEvo - Thread: Thread-4 | Generation no: 3
07:22:26.886 [Thread-0] INFO  algoGenetico.PopulationEvo - Thread: Thread-0 | Generation no: 6
07:22:26.941 [main] INFO  algoGenetico.PopulationEvo - Thread: main | Hyperparameters{nrGenerations=1, nrFitIndividuals=27, tournamentSize=24, seed=5282, hiddenDimSize=20, mutationProb=0.32252891415075535, populationSize=120}
07:22:27.561 [Thread-7] INFO  algoGenetico.PopulationEvo - Thread: Thread-7 | Generation no: 1
07:22:27.561 [Thread-7] INFO  algoGenetico.PopulationEvo - Thread: Thread-7 | Fittest: 93272.0
07:22:27.561 [Thread-7] INFO  algoGenetico.PopulationEvo - Thread: Thread-7 | GOING TO WRITE... writing file
07:22:27.562 [Thread-7] INFO  algoGenetico.PopulationEvo - Thread: Thread-7 | WROTE Fittest: 93272.0
07:22:27.783 [Thread-5] INFO  algoGenetico.PopulationEvo - Thread: Thread-5 | Generation no: 1
07:22:28.345 [Thread-6] INFO  algoGenetico.PopulationEvo - Thread: Thread-6 | Generation no: 1
07:22:28.516 [main] INFO  algoGenetico.PopulationEvo - Thread: main | Hyperparameters{nrGenerations=43, nrFitIndividuals=167, tournamentSize=118, seed=4880, hiddenDimSize=12, mutationProb=0.9899751685272702, populationSize=657}
07:22:29.152 [Thread-4] INFO  algoGenetico.PopulationEvo - Thread: Thread-4 | Generation no: 4
07:22:29.436 [Thread-0] INFO  algoGenetico.PopulationEvo - Thread: Thread-0 | Generation no: 7
07:22:29.780 [main] INFO  algoGenetico.PopulationEvo - Thread: main | Hyperparameters{nrGenerations=83, nrFitIndividuals=63, tournamentSize=61, seed=5855, hiddenDimSize=42, mutationProb=0.45554203701180973, populationSize=230}
07:22:30.118 [Thread-6] INFO  algoGenetico.PopulationEvo - Thread: Thread-6 | Generation no: 2
07:22:30.182 [Thread-5] INFO  algoGenetico.PopulationEvo - Thread: Thread-5 | Generation no: 2
07:22:30.834 [Thread-8] INFO  algoGenetico.PopulationEvo - Thread: Thread-8 | Generation no: 1
07:22:30.867 [main] INFO  algoGenetico.PopulationEvo - Thread: main | Hyperparameters{nrGenerations=70, nrFitIndividuals=156, tournamentSize=113, seed=4047, hiddenDimSize=4, mutationProb=0.2880737442613839, populationSize=902}
07:22:31.621 [Thread-9] INFO  algoGenetico.PopulationEvo - Thread: Thread-9 | Generation no: 1
07:22:31.782 [Thread-4] INFO  algoGenetico.PopulationEvo - Thread: Thread-4 | Generation no: 5
07:22:32.364 [Thread-10] INFO  algoGenetico.PopulationEvo - Thread: Thread-10 | Generation no: 1
07:22:32.415 [Thread-6] INFO  algoGenetico.PopulationEvo - Thread: Thread-6 | Generation no: 3
07:22:32.518 [Thread-2] INFO  algoGenetico.PopulationEvo - Thread: Thread-2 | Generation no: 8
07:22:32.669 [main] INFO  algoGenetico.PopulationEvo - Thread: main | Hyperparameters{nrGenerations=37, nrFitIndividuals=134, tournamentSize=79, seed=3435, hiddenDimSize=34, mutationProb=0.3803378323328931, populationSize=500}
07:22:33.141 [Thread-0] INFO  algoGenetico.PopulationEvo - Thread: Thread-0 | Generation no: 8
07:22:33.359 [Thread-5] INFO  algoGenetico.PopulationEvo - Thread: Thread-5 | Generation no: 3
07:22:33.660 [Thread-8] INFO  algoGenetico.PopulationEvo - Thread: Thread-8 | Generation no: 2
07:22:33.689 [Thread-10] INFO  algoGenetico.PopulationEvo - Thread: Thread-10 | Generation no: 2
07:22:34.046 [Thread-9] INFO  algoGenetico.PopulationEvo - Thread: Thread-9 | Generation no: 2
07:22:34.440 [main] INFO  algoGenetico.PopulationEvo - Thread: main | Hyperparameters{nrGenerations=98, nrFitIndividuals=53, tournamentSize=42, seed=4057, hiddenDimSize=7, mutationProb=0.6936419611922019, populationSize=720}
07:22:34.687 [Thread-4] INFO  algoGenetico.PopulationEvo - Thread: Thread-4 | Generation no: 6
07:22:34.787 [Thread-11] INFO  algoGenetico.PopulationEvo - Thread: Thread-11 | Generation no: 1
07:22:35.140 [Thread-6] INFO  algoGenetico.PopulationEvo - Thread: Thread-6 | Generation no: 4
07:22:35.687 [Thread-10] INFO  algoGenetico.PopulationEvo - Thread: Thread-10 | Generation no: 3
07:22:36.351 [Thread-12] INFO  algoGenetico.PopulationEvo - Thread: Thread-12 | Generation no: 1
07:22:36.888 [Thread-9] INFO  algoGenetico.PopulationEvo - Thread: Thread-9 | Generation no: 3
07:22:37.151 [Thread-8] INFO  algoGenetico.PopulationEvo - Thread: Thread-8 | Generation no: 3
07:22:37.333 [Thread-11] INFO  algoGenetico.PopulationEvo - Thread: Thread-11 | Generation no: 2
07:22:37.488 [Thread-10] INFO  algoGenetico.PopulationEvo - Thread: Thread-10 | Generation no: 4
07:22:37.651 [Thread-5] INFO  algoGenetico.PopulationEvo - Thread: Thread-5 | Generation no: 4
07:22:37.822 [Thread-0] INFO  algoGenetico.PopulationEvo - Thread: Thread-0 | Generation no: 9
07:22:37.871 [Thread-4] INFO  algoGenetico.PopulationEvo - Thread: Thread-4 | Generation no: 7
07:22:38.353 [Thread-6] INFO  algoGenetico.PopulationEvo - Thread: Thread-6 | Generation no: 5
07:22:39.095 [main] INFO  algoGenetico.PopulationEvo - Thread: main | Hyperparameters{nrGenerations=44, nrFitIndividuals=54, tournamentSize=54, seed=5385, hiddenDimSize=45, mutationProb=0.7993571725159405, populationSize=501}
07:22:39.557 [Thread-10] INFO  algoGenetico.PopulationEvo - Thread: Thread-10 | Generation no: 5
07:22:40.037 [Thread-11] INFO  algoGenetico.PopulationEvo - Thread: Thread-11 | Generation no: 3
07:22:40.872 [Thread-8] INFO  algoGenetico.PopulationEvo - Thread: Thread-8 | Generation no: 4
07:22:41.332 [Thread-4] INFO  algoGenetico.PopulationEvo - Thread: Thread-4 | Generation no: 8
07:22:41.792 [Thread-10] INFO  algoGenetico.PopulationEvo - Thread: Thread-10 | Generation no: 6
07:22:42.001 [Thread-9] INFO  algoGenetico.PopulationEvo - Thread: Thread-9 | Generation no: 4
07:22:42.090 [Thread-6] INFO  algoGenetico.PopulationEvo - Thread: Thread-6 | Generation no: 6
07:22:42.782 [Thread-11] INFO  algoGenetico.PopulationEvo - Thread: Thread-11 | Generation no: 4
07:22:44.057 [Thread-10] INFO  algoGenetico.PopulationEvo - Thread: Thread-10 | Generation no: 7
07:22:44.345 [Thread-0] INFO  algoGenetico.PopulationEvo - Thread: Thread-0 | Generation no: 10
07:22:44.783 [Thread-8] INFO  algoGenetico.PopulationEvo - Thread: Thread-8 | Generation no: 5
07:22:44.857 [Thread-13] INFO  algoGenetico.PopulationEvo - Thread: Thread-13 | Generation no: 1
07:22:44.967 [Thread-4] INFO  algoGenetico.PopulationEvo - Thread: Thread-4 | Generation no: 9
07:22:45.145 [main] INFO  algoGenetico.PopulationEvo - Thread: main | Hyperparameters{nrGenerations=23, nrFitIndividuals=94, tournamentSize=32, seed=627, hiddenDimSize=47, mutationProb=0.3118604701668558, populationSize=917}
07:22:45.618 [Thread-5] INFO  algoGenetico.PopulationEvo - Thread: Thread-5 | Generation no: 5
07:22:46.197 [Thread-10] INFO  algoGenetico.PopulationEvo - Thread: Thread-10 | Generation no: 8
07:22:46.299 [Thread-6] INFO  algoGenetico.PopulationEvo - Thread: Thread-6 | Generation no: 7
07:22:47.603 [Thread-11] INFO  algoGenetico.PopulationEvo - Thread: Thread-11 | Generation no: 5
07:22:47.954 [Thread-9] INFO  algoGenetico.PopulationEvo - Thread: Thread-9 | Generation no: 5
07:22:48.755 [Thread-10] INFO  algoGenetico.PopulationEvo - Thread: Thread-10 | Generation no: 9
07:22:48.790 [Thread-4] INFO  algoGenetico.PopulationEvo - Thread: Thread-4 | Generation no: 10
07:22:48.963 [Thread-8] INFO  algoGenetico.PopulationEvo - Thread: Thread-8 | Generation no: 6
07:22:51.285 [Thread-6] INFO  algoGenetico.PopulationEvo - Thread: Thread-6 | Generation no: 8
07:22:51.354 [Thread-10] INFO  algoGenetico.PopulationEvo - Thread: Thread-10 | Generation no: 10
07:22:51.540 [Thread-0] INFO  algoGenetico.PopulationEvo - Thread: Thread-0 | Generation no: 11
