14:34:00.053 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: 12 | Alien X: 149 | Alien Y: 5
14:34:00.059 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -6 | Alien X: 167 | Alien Y: 5
14:34:00.060 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -24 | Alien X: 185 | Alien Y: 5
14:34:00.061 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -42 | Alien X: 203 | Alien Y: 5
14:34:00.061 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -60 | Alien X: 221 | Alien Y: 5
14:34:00.061 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -78 | Alien X: 239 | Alien Y: 5
14:34:00.061 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: 12 | Alien X: 149 | Alien Y: 23
14:34:00.061 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -6 | Alien X: 167 | Alien Y: 23
14:34:00.062 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -24 | Alien X: 185 | Alien Y: 23
14:34:00.062 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -42 | Alien X: 203 | Alien Y: 23
14:34:00.062 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -60 | Alien X: 221 | Alien Y: 23
14:34:00.062 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -78 | Alien X: 239 | Alien Y: 23
14:34:00.063 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: 12 | Alien X: 149 | Alien Y: 41
14:34:00.063 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -6 | Alien X: 167 | Alien Y: 41
14:34:00.063 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -24 | Alien X: 185 | Alien Y: 41
14:34:00.063 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -42 | Alien X: 203 | Alien Y: 41
14:34:00.063 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -60 | Alien X: 221 | Alien Y: 41
14:34:00.064 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -78 | Alien X: 239 | Alien Y: 41
14:34:00.092 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: 13 | Alien X: 148 | Alien Y: 5
14:34:00.092 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -5 | Alien X: 166 | Alien Y: 5
14:34:00.092 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -23 | Alien X: 184 | Alien Y: 5
14:34:00.092 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -41 | Alien X: 202 | Alien Y: 5
14:34:00.093 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -59 | Alien X: 220 | Alien Y: 5
14:34:00.093 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -77 | Alien X: 238 | Alien Y: 5
14:34:00.093 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: 13 | Alien X: 148 | Alien Y: 23
14:34:00.093 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -5 | Alien X: 166 | Alien Y: 23
14:34:00.093 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -23 | Alien X: 184 | Alien Y: 23
14:34:00.094 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -41 | Alien X: 202 | Alien Y: 23
14:34:00.094 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -59 | Alien X: 220 | Alien Y: 23
14:34:00.094 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -77 | Alien X: 238 | Alien Y: 23
14:34:00.094 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: 13 | Alien X: 148 | Alien Y: 41
14:34:00.094 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -5 | Alien X: 166 | Alien Y: 41
14:34:00.095 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -23 | Alien X: 184 | Alien Y: 41
14:34:00.095 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -41 | Alien X: 202 | Alien Y: 41
14:34:00.095 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -59 | Alien X: 220 | Alien Y: 41
14:34:00.095 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -77 | Alien X: 238 | Alien Y: 41
14:34:00.105 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: 14 | Alien X: 147 | Alien Y: 5
14:34:00.105 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -4 | Alien X: 165 | Alien Y: 5
